timestamp,equity
2026-04-30T21:40:19+00:00,499.453854
2026-04-30T21:55:36+00:00,499.246374
2026-05-01T02:08:43+00:00,500.670846
2026-05-02T01:56:09+00:00,492.0751
2026-05-03T01:59:27+00:00,495.430916
2026-05-04T02:00:26+00:00,493.060371
2026-05-05T02:00:20+00:00,486.887948
2026-05-06T01:59:55+00:00,486.174974
2026-05-07T02:02:29+00:00,477.997769
2026-05-08T02:08:58+00:00,485.664307
2026-05-09T02:02:49+00:00,482.611657
2026-05-10T02:02:45+00:00,481.366137
2026-05-11T02:12:23+00:00,476.397859
2026-05-12T02:07:50+00:00,472.130111
2026-05-13T02:13:34+00:00,488.103273
2026-05-14T02:15:50+00:00,475.003958
2026-05-15T02:13:45+00:00,468.499432
2026-05-16T02:05:44+00:00,462.694118
2026-05-17T02:09:33+00:00,461.100288
2026-05-18T02:30:51+00:00,454.60524
2026-05-19T02:29:46+00:00,0.000913
2026-05-20T02:29:58+00:00,0.000913
