timestamp,coin,signal
2026-04-30T21:40:19+00:00,BTC,-0.014407178453351046
2026-04-30T21:40:19+00:00,ETH,0.01911991273109972
2026-04-30T21:40:19+00:00,HYPE,0.013090048256028494
2026-04-30T21:40:19+00:00,SOL,-0.006060850672495061
2026-04-30T21:40:19+00:00,DOGE,0.04195340732060396
2026-04-30T21:40:19+00:00,PUMP,0.020402804851269715
2026-04-30T21:40:19+00:00,ZEC,0.006995076597132453
2026-04-30T21:40:19+00:00,FARTCOIN,0.02694608922009264
2026-04-30T21:40:19+00:00,PENGU,-0.0021706656439867116
2026-04-30T21:40:19+00:00,XRP,0.0015203351312947267
2026-04-30T21:40:19+00:00,TAO,0.011245707394134205
2026-04-30T21:40:19+00:00,AAVE,0.036626262014152935
2026-04-30T21:40:19+00:00,PAXG,0.06961718371140495
2026-04-30T21:40:19+00:00,MON,-8.026792023551516e-05
2026-04-30T21:40:19+00:00,LIT,0.018433601379625516
2026-04-30T21:40:19+00:00,SUI,-0.004524549128729996
2026-04-30T21:40:19+00:00,XPL,0.017815757230240866
2026-04-30T21:40:19+00:00,APE,-0.042697316503281804
2026-04-30T21:40:19+00:00,BNB,0.07910236264818227
2026-04-30T21:40:19+00:00,ASTER,0.015027513299091133
2026-04-30T21:40:19+00:00,VVV,0.008598165101520824
2026-04-30T21:40:19+00:00,TRUMP,-0.20028812135619872
2026-04-30T21:40:19+00:00,ADA,-0.0007032399390759155
2026-04-30T21:40:19+00:00,XMR,0.0741961281169362
2026-04-30T21:40:19+00:00,ZRO,0.028411140800719065
2026-04-30T21:40:19+00:00,WLFI,-0.018137792525934768
2026-04-30T21:40:19+00:00,LINK,0.07785284303162693
2026-04-30T21:40:19+00:00,ARB,-0.01271915497706723
2026-04-30T21:40:19+00:00,LDO,0.03891643784068596
2026-04-30T21:55:36+00:00,BTC,-0.014407178453351046
2026-04-30T21:55:36+00:00,ETH,0.019119912731099708
2026-04-30T21:55:36+00:00,HYPE,0.013090048256028494
2026-04-30T21:55:36+00:00,SOL,-0.0060608506724950635
2026-04-30T21:55:36+00:00,DOGE,0.04195340732060396
2026-04-30T21:55:36+00:00,PUMP,0.020402804851269715
2026-04-30T21:55:36+00:00,ZEC,0.0069950765971324505
2026-04-30T21:55:36+00:00,FARTCOIN,0.02694608922009264
2026-04-30T21:55:36+00:00,PENGU,-0.0021706656439867147
2026-04-30T21:55:36+00:00,XRP,0.00152033513129473
2026-04-30T21:55:36+00:00,TAO,0.011245707394134205
2026-04-30T21:55:36+00:00,AAVE,0.036626262014152935
2026-04-30T21:55:36+00:00,PAXG,0.06961718371140495
2026-04-30T21:55:36+00:00,MON,-8.026792023551035e-05
2026-04-30T21:55:36+00:00,LIT,0.018433601379625516
2026-04-30T21:55:36+00:00,SUI,-0.004524549128729996
2026-04-30T21:55:36+00:00,XPL,0.017815757230240866
2026-04-30T21:55:36+00:00,APE,-0.042697316503281804
2026-04-30T21:55:36+00:00,BNB,0.07910236264818227
2026-04-30T21:55:36+00:00,ASTER,0.015027513299091133
